City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,arak,34.0917,49.6892,4.28,56,0,1.79,IR,1707410866
130,tulum,20.2167,-87.4667,25.96,51,1,4.44,MX,1707410867
131,aasiaat,68.7098,-52.8699,-23.47,98,99,4.29,GL,1707410867
132,vila velha,-20.3297,-40.2925,30.97,77,20,3.6,BR,1707410867
133,thompson,55.7435,-97.8558,-16.91,85,100,4.63,CA,1707410867
134,anadyr,64.75,177.4833,-7.72,79,20,10.0,RU,1707410867
135,samarinda,-0.5,117.15,23.2,97,90,0.25,ID,1707410867
136,gamay,12.3854,125.2979,25.48,82,75,2.15,PH,1707410867
137,coquimbo,-29.9533,-71.3436,20.85,83,75,5.66,CL,1707410867
138,iskateley,67.6803,53.1512,-9.99,95,99,3.58,RU,1707410868
139,turbat,26.0023,63.044,20.04,63,67,4.35,PK,1707410868
140,papao,-17.75,-149.55,27.82,92,100,10.18,PF,1707410868
141,gorontalo,0.5412,123.0595,24.54,94,99,1.28,ID,1707410868
142,sebring,27.4956,-81.4409,22.1,61,0,2.57,US,1707410868
143,zintan,31.9223,12.252,13.4,33,2,1.5,LY,1707410868
144,san antonio de pale,-1.4014,5.6325,28.37,74,75,3.13,GQ,1707410868
145,happy valley-goose bay,53.3168,-60.3315,-6.83,86,100,0.0,CA,1707410869
146,roma,43.2128,-75.4557,11.71,48,0,3.6,US,1707410869
147,bata,1.8639,9.7658,28.52,76,99,4.83,GQ,1707410869
148,college,64.8569,-147.8028,-23.28,73,40,1.54,US,1707410869
149,dudinka,69.4058,86.1778,-30.18,95,7,2.24,RU,1707410869
150,mount isa,-20.7333,139.5,24.87,83,97,0.51,AU,1707410869
151,kill devil hills,36.0307,-75.676,11.0,80,0,4.12,US,1707410869
152,sinabang,2.4803,96.3801,27.2,79,68,1.5,ID,1707410870
153,murzuq,25.9155,13.9184,16.22,25,0,2.29,LY,1707410870
154,mailag,7.9703,125.1375,21.98,97,70,0.98,PH,1707410870
155,gokwe,-18.2048,28.9349,25.93,41,53,1.13,ZW,1707410870
156,haiku-pauwela,20.9219,-156.3051,21.13,78,40,2.68,US,1707410870
157,keflavik,64.0049,-22.5624,-3.76,50,0,6.17,IS,1707410870
158,alofi,-19.0595,-169.9187,24.94,94,47,0.51,NU,1707410870
159,penaflor,-33.6167,-70.9167,34.34,34,0,4.51,CL,1707410770
160,muisne,0.6,-80.0333,27.57,81,45,1.95,EC,1707410871
161,ramshir,30.8946,49.4092,17.86,39,0,3.2,IR,1707410871
162,polyarnyy,69.1989,33.4478,-23.53,100,86,3.31,RU,1707410871
163,monchegorsk,67.9397,32.8739,-24.99,97,73,1.37,RU,1707410871
164,murrells inlet,33.551,-79.0414,13.95,53,0,3.09,US,1707410616
165,margaret river,-33.95,115.0667,21.58,45,0,5.2,AU,1707410871
166,puerto leguizamo,-0.1934,-74.7819,30.51,69,87,0.86,CO,1707410872
167,boden,65.8252,21.6886,-18.0,96,100,2.76,SE,1707410872
168,priozersk,61.0393,30.1291,-13.28,63,77,2.46,RU,1707410872
169,fale old settlement,-9.3852,-171.2468,27.61,82,100,10.25,TK,1707410872
170,sakete,6.7362,2.6587,31.17,36,34,4.91,BJ,1707410872
171,kyotera,-0.6156,31.5175,20.54,73,12,1.86,UG,1707410872
172,moia,41.8101,2.0958,14.42,61,100,0.45,ES,1707410872
173,whitehorse,60.7161,-135.0538,-21.77,83,75,1.03,CA,1707410873
174,magadan,59.5667,150.8,-24.15,86,14,3.23,RU,1707410873
175,klyuchi,52.2667,79.1667,-3.36,74,98,8.2,RU,1707410873
176,ust-nera,64.5667,143.2,-29.97,100,100,1.03,RU,1707410873
177,sassandra,4.95,-6.0833,29.54,65,25,4.39,CI,1707410873
178,san giorgio di piano,44.6497,11.3756,14.09,70,40,2.06,IT,1707410873
179,birao,10.2849,22.7882,28.92,17,33,2.26,CF,1707410873
180,namsos,64.4662,11.4957,-1.97,86,75,3.6,NO,1707410873
181,sint michiel liber,12.15,-68.9833,26.9,83,75,3.09,CW,1707410873
182,port alfred,-33.5906,26.891,21.77,79,22,0.45,ZA,1707410874
183,vega de alatorre,20.0333,-96.6333,23.61,62,3,4.12,MX,1707410874
184,kyela,-9.5833,33.85,25.56,80,29,0.63,TZ,1707410874
185,saipan,15.1355,145.701,26.39,69,0,5.66,MP,1707410874
186,tabou,4.423,-7.3528,28.98,69,6,4.64,CI,1707410874
187,lydenburg,-25.0978,30.4597,18.4,95,99,1.26,ZA,1707410874
188,goondiwindi,-28.55,150.3167,23.05,69,50,2.24,AU,1707410874
189,inarajan village,13.2736,144.7484,26.54,80,100,7.95,GU,1707410875
